Date,Open,High,Low,Close,Stock
2022-04-13,2560,2606.679931640625,2554.820068359375,2597.8798828125,GOOGL
2022-04-12,2632,2632,2535.780029296875,2554.2900390625,GOOGL
2022-04-11,2636.469970703125,2641.85009765625,2573.3701171875,2576.469970703125,GOOGL
2022-04-08,2711.669921875,2713.39990234375,2659.31005859375,2665.75,GOOGL
2022-04-07,2720.199951171875,2743.2900390625,2684.550048828125,2717.77001953125,GOOGL
2022-04-06,2775,2787.2099609375,2710.340087890625,2730.9599609375,GOOGL
2022-04-05,2857.3798828125,2859.81005859375,2807.64990234375,2811.820068359375,GOOGL
2022-04-04,2807.169921875,2874.239990234375,2806.2099609375,2859.429931640625,GOOGL
2022-04-01,2790,2809.419921875,2766.14990234375,2803.010009765625,GOOGL
2022-03-31,2841.06005859375,2842.159912109375,2780.489990234375,2781.35009765625,GOOGL
2022-03-30,2849.199951171875,2854.409912109375,2832,2838.77001953125,GOOGL
2022-03-29,2852.949951171875,2875.8701171875,2840.77001953125,2850.110107421875,GOOGL
2022-03-28,2818.010009765625,2840.050048828125,2796.22998046875,2829.110107421875,GOOGL
2022-03-25,2838.320068359375,2840.699951171875,2794.75,2833.4599609375,GOOGL
2022-03-24,2784,2832.3798828125,2755.010009765625,2831.43994140625,GOOGL
2022-03-23,2774.050048828125,2791.77001953125,2756.699951171875,2765.510009765625,GOOGL
2022-03-22,2722.030029296875,2821,2722.030029296875,2797.360107421875,GOOGL
2022-03-21,2723.27001953125,2741,2681.85009765625,2722.030029296875,GOOGL
2022-03-18,2668.489990234375,2724.8798828125,2645.169921875,2722.510009765625,GOOGL
2022-03-17,2662.97998046875,2681.610107421875,2643.699951171875,2676.780029296875,GOOGL
2022-03-16,2614.659912109375,2666.659912109375,2574.68994140625,2665.610107421875,GOOGL
2022-03-15,2539.52001953125,2597.090087890625,2514.409912109375,2583.9599609375,GOOGL
2022-03-14,2605,2608.179931640625,2505.5,2519.02001953125,GOOGL
2022-03-11,2669.77001953125,2675.909912109375,2592.6298828125,2597.409912109375,GOOGL
2022-03-10,2625.320068359375,2665.43994140625,2618.25,2648.590087890625,GOOGL
2022-03-09,2625,2674.7099609375,2598.010009765625,2668.39990234375,GOOGL
2022-03-08,2525,2625,2513.489990234375,2542.090087890625,GOOGL
2022-03-07,2629.760009765625,2634.699951171875,2525.89990234375,2527.570068359375,GOOGL
2022-03-04,2658.550048828125,2677.030029296875,2606.75,2638.1298828125,GOOGL
2022-03-03,2720.199951171875,2728.7900390625,2660.510009765625,2677.989990234375,GOOGL
2022-03-02,2692.56005859375,2705.25,2661.429931640625,2691.429931640625,GOOGL
2022-03-01,2697.570068359375,2725.110107421875,2664.3701171875,2681.22998046875,GOOGL
2022-02-28,2661,2715.030029296875,2651.85009765625,2701.139892578125,GOOGL
2022-02-25,2671.0400390625,2705.429931640625,2635.030029296875,2689.18994140625,GOOGL
2022-02-24,2499.070068359375,2660,2499.070068359375,2653.820068359375,GOOGL
2022-02-23,2632.969970703125,2641.02001953125,2550.550048828125,2551.760009765625,GOOGL
2022-02-22,2596.760009765625,2643.610107421875,2564.469970703125,2596.27001953125,GOOGL
2022-02-18,2669.340087890625,2681.39990234375,2603.929931640625,2608.06005859375,GOOGL
2022-02-17,2724.860107421875,2742.27001953125,2649.570068359375,2650.780029296875,GOOGL
2022-02-16,2732.929931640625,2761.719970703125,2698.47998046875,2754.760009765625,GOOGL
2022-02-15,2751.409912109375,2762.169921875,2716.429931640625,2732.169921875,GOOGL
2022-02-14,2665.1298828125,2726,2665.1298828125,2710.52001953125,GOOGL
2022-02-11,2772,2783.1298828125,2668,2685.64990234375,GOOGL
2022-02-10,2794.070068359375,2829.68994140625,2759.139892578125,2772.39990234375,GOOGL
2022-02-09,2819.27001953125,2850.489990234375,2803.739990234375,2831.840087890625,GOOGL
2022-02-08,2780.530029296875,2800,2740.280029296875,2787.97998046875,GOOGL
2022-02-07,2885,2885,2778,2784.02001953125,GOOGL
2022-02-04,2868.889892578125,2897.5,2810.300048828125,2865.860107421875,GOOGL
2022-02-03,2914.110107421875,2993.5,2853.31005859375,2861.800048828125,GOOGL
2022-02-02,3025,3030.929931640625,2910.449951171875,2960,GOOGL
2022-02-01,2751.889892578125,2755.860107421875,2687.3701171875,2752.8798828125,GOOGL
2022-01-31,2683.239990234375,2709.4599609375,2644.18994140625,2706.070068359375,GOOGL
2022-01-28,2593.179931640625,2667.1298828125,2569.699951171875,2667.02001953125,GOOGL
2022-01-27,2626.080078125,2653.050048828125,2578.64990234375,2580.10009765625,GOOGL
2022-01-26,2622.3798828125,2660,2542.840087890625,2584.659912109375,GOOGL
2022-01-25,2574.800048828125,2587.97998046875,2530.010009765625,2538.699951171875,GOOGL
2022-01-24,2519.56005859375,2624.06005859375,2490,2616.080078125,GOOGL
2022-01-21,2651.8701171875,2697.31005859375,2601.72998046875,2607.030029296875,GOOGL
